Entity,Month,Function,Cost_Bucket,Category,Budget_USD,Actual_USD,Variance_USD,Prior_Period,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherEmployeeCost_Bonus,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherEmployeeCost_Commissions,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherEmployeeCost_Heathcare,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherEmployeeCost_Laptop,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherEmployeeCost_Recruitment,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherEmployeeCost_StatutoryContributions,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherEmployeeCost_Subscriptions,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherEmployeeCost_Training,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_AccountingFees,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_AdvisorFees,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_AuditFees,1800.625,1614.81,-185.815,1614.81,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_BankFees,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_BusinessEvents,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_BusinessLicenceFee,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_ComputerExpenses,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_CorporateSecretaryFees,410.375,303.8,-106.575,592.15,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_FreightCourier,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_Insurance,4165.58,4165.58,0,4165.58,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_LegalExpenses,0,0,0,1183.92,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_MembershipFees,0,113.38,113.38,113.35,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_OfficeExpenses,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_OfficeSubscription,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_PrintingStationery,62.8125,0,-62.8125,25.41,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_ProfessionalFees,3366.75,412.2,-2954.55,266.94,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_RentExpense,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_TelephoneInternet,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,FA,Administrative,OtherOPEX_TravelEntertainment,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherEmployeeCost_Bonus,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherEmployeeCost_Commissions,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherEmployeeCost_Heathcare,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherEmployeeCost_Laptop,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherEmployeeCost_Recruitment,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherEmployeeCost_StatutoryContributions,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherEmployeeCost_Subscriptions,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherEmployeeCost_Training,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherOPEX_Audit,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherOPEX_CorpSec,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherOPEX_Entertainment,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherOPEX_Insurance,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherOPEX_InsuranceInfra,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherOPEX_Marketing,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherOPEX_Misc,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherOPEX_OfficeSubscription,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherOPEX_TelephoneInternet,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Insurance,Administrative,OtherOPEX_Travel,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Management,Administrative,OtherEmployeeCost_Bonus,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Management,Administrative,OtherEmployeeCost_Commissions,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
BPGroup,Feb-2026,Management,Administrative,OtherEmployeeCost_Heathcare,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
